種別,地区,施設名,所在地,避難可能場所,高さ,経度,緯度
津波避難ビル,長田南,市営用宗団地,静岡市駿河区用宗四丁目1番25号,3階以上の階段・踊場・廊下,,138.36086,34.92335
津波避難ビル,長田南,用宗老人福祉センター,静岡市駿河区用宗五丁目21番10号,屋上,,138.36249,34.91909
津波避難ビル,長田南,大三ビル,静岡市駿河区用宗四丁目3番27号,3~5階の階段・踊場・廊下、屋上,,138.36142,34.92286
津波避難ビル,長田南,用宗公民館,静岡市駿河区用宗四丁目1番6号,屋上,,138.36086,34.92335
津波避難ビル,長田南,長田南小学校,静岡市駿河区広野四丁目7番1号,3階~屋上,,138.36935,34.92805
津波避難ビル,長田南,城山中学校,静岡市駿河区小坂二丁目33番地,3、4階廊下,,138.35693,34.93003
津波避難ビル,長田南,静岡広野病院,静岡市駿河区広野1494番地の8,3、4階廊下、5階の食堂兼談話室・廊下、6階倉庫,,138.38118,34.92846
津波避難ビル,長田南,コーポラス用宗I,静岡市駿河区用宗三丁目5番43号,3階共用部分,,138.36299,34.92316
津波避難ビル,長田南,コーポラス用宗II,静岡市駿河区用宗三丁目5番44号,3、4階共用部分,,138.36299,34.92316
津波避難ビル,長田南,公益財団法人野村生涯教育センター静岡研修会館別館,静岡市駿河区用宗二丁目25番12号,3階,,138.36676,34.92143
津波避難ビル,川原,かわはら会館,静岡市駿河区下川原六丁目1番6号,3階,,138.37532,34.93526
津波避難ビル,川原,市営桃園団地,静岡市駿河区桃園町3番1号,3階以上の階段・踊場・廊下,,138.38026,34.93079
津波避難ビル,川原,有料老人ホーム_ペリデ下川原,静岡市駿河区下川原五丁目33番17号,3階の階段・踊場、屋上,,138.37927,34.93324
津波避難ビル,川原,静岡徳洲会病院,静岡市駿河区下川原南11番1号,5階ベランダ,,138.38419,34.93139
津波避難ビル,川原,川原小学校,静岡市駿河区下川原四丁目14番1号,3階~屋上,,138.38293,34.93780
津波避難ビル,川原,SBSマイホームセンター静岡展示場津波避難ビル駐車場,静岡市駿河区下川原南23番7号,3階、屋上,,138.38141,34.93206
津波避難ビル,中島,中島中学校,静岡市駿河区中島3303番地,3階、屋上,,138.39453,34.93544
津波避難ビル,中島,中島浄化センター(水処理棟),静岡市駿河区中島1711番地の1,屋上,,138.39615,34.93407
津波避難ビル,中島,有料老人ホーム_ナーシングホームあしたば2号館,静岡市駿河区中島1687-39,4階ホール、屋上,,138.40062,34.93496
津波避難ビル,中島,有料老人ホーム_ナーシングホームあしたば1号館,静岡市駿河区中島1684-15,屋上,,138.40215,34.93598
津波避難ビル,中島,アンビ・ア_タクシー_静岡事業部_立体駐車場,静岡市駿河区中島687-1,屋上,,138.39345,34.94323
津波避難ビル,中島,市営中島住宅,静岡市駿河区中島2968番,3階以上の階段・踊場・廊下,,138.39809,34.94239
津波避難ビル,中島,中島小学校,静岡市駿河区中島2992番地の1,3階~屋上,,138.39961,34.94109
津波避難ビル,中島,下島公民館,静岡市駿河区下島497,屋上,,138.41240,34.94543
津波避難ビル,中島,介護老人保健施設_サンライズ大浜,静岡市駿河区西島528番地,屋上,,138.40300,34.94352
津波避難ビル,中島,学校法人_静岡朝鮮学園,静岡市駿河区中島1171,屋上,,138.39487,34.93862
津波避難ビル,中島,特別養護老人ホーム_なごみ,静岡市駿河区中島2580番1,3階共有スペース,,138.39824,34.93362
津波避難ビル,中島,ふじみ幼稚園,静岡市駿河区西島402番地,屋上,,138.40721,34.94398
津波避難ビル,大里東,にこはうす,静岡市駿河区高松3414番地,3、4階の廊下、屋上,,138.41466,34.94439
津波避難ビル,大里東,大里東小学校,静岡市駿河区高松2310番地,3階~屋上,,138.41910,34.94588
津波避難ビル,宮竹,宮竹小学校,静岡市駿河区宮竹二丁目12番1号,3階,,138.41756,34.95207
津波避難ビル,宮竹,南中学校,静岡市駿河区宮竹二丁目11番1号,3階~屋上,,138.41878,34.95122
津波避難ビル,宮竹,静岡銀行_下島支店,静岡市駿河区敷地一丁目2番25号,屋上,,138.41011,34.94965
